Issue Type,Issue key,Issue id,Created,Summary,Assignee,Reporter,Priority,Status,Resolution,Updated,Due Date,Security Level,Component/s
New Feature,BESU-126,43398,21/Nov/19 12:40 AM,EVM Evolution EIP (EIP-2348),shemnon,timbeiko,Medium,Done,Done,17/Mar/20 5:36 AM,,,
Task,BESU-29,43130,06/Nov/19 1:15 AM,Improve LoadLocalDataStep performance,,timbeiko,Medium,Done,Done,17/Mar/20 5:35 AM,,,
Task,BESU-28,43129,06/Nov/19 1:14 AM,Reduce the number of times trie nodes are serialised,,timbeiko,Medium,Done,Done,17/Mar/20 5:34 AM,,,
Task,BESU-27,43128,06/Nov/19 1:13 AM,Profile Validation Code,,timbeiko,Medium,Done,Done,17/Mar/20 5:32 AM,,,
Task,BESU-26,43127,06/Nov/19 1:12 AM,Investigate using column families for various Blockchain data types,,timbeiko,Medium,Done,Done,17/Mar/20 5:31 AM,,,
Task,BESU-24,43125,06/Nov/19 1:11 AM,Refactor gas calculator to move oparations and precompiled costs out,,timbeiko,Medium,Done,Done,17/Mar/20 5:31 AM,,,
Task,BESU-23,43124,06/Nov/19 1:11 AM,Investigate UpnpManager StreamServer message,,timbeiko,Medium,Done,Done,17/Mar/20 5:29 AM,,,
Task,BESU-129,43419,22/Nov/19 3:38 AM,Ice Age Implementation ,shemnon,timbeiko,Medium,Done,Done,14/Mar/20 4:48 AM,,,
Task,BESU-78,43201,07/Nov/19 12:45 PM,Add priv_call,pinges,madelinemurray,Medium,Done,Done,13/Mar/20 3:25 PM,,,besu-privacy
Task,BESU-198,44265,05/Feb/20 2:58 PM,"Testing Jira Sync, simple version",,EdJoJob,Medium,Done,Done,04/Mar/20 2:38 PM,,,
Task,BESU-109,43303,13/Nov/19 7:55 PM,"Remove parentHash, number, and gasUsed fields",,madelinemurray,Medium,Done,Done,03/Mar/20 12:15 PM,,,besu-docs
Task,BESU-25,43126,06/Nov/19 1:12 AM,Support DevP2P Version 5,,timbeiko,Medium,Done,Done,18/Feb/20 2:50 AM,,,
New Feature,BESU-37,43145,06/Nov/19 10:35 PM,Review EIP 2124,,timbeiko,Medium,Done,Done,17/Feb/20 11:40 PM,,,
Task,BESU-145,43552,05/Dec/19 4:10 AM,Migration approach and compatibility matrix ,madelinemurray,madelinemurray,Medium,Done,Done,17/Feb/20 3:29 PM,,,besu-privacy
New Feature,BESU-139,43518,03/Dec/19 10:47 AM,Mainnet privacy ,iikirilov,madelinemurray,Medium,Done,Done,17/Feb/20 2:38 PM,,,besu-privacy
Improvement,BESU-58,43166,06/Nov/19 10:52 PM,Make GraphQL endpoint root path redirect to /graphql,anthonybuckle,timbeiko,Medium,Done,Done,16/Feb/20 8:35 PM,,,
New Feature,BESU-87,43249,11/Nov/19 12:46 PM,Make Postman collection available as downloadable file,,madelinemurray,Medium,Done,Done,15/Feb/20 1:20 AM,,,besu-docs
Bug,BESU-62,43170,06/Nov/19 10:55 PM,BESU metrics do not include rocksdb metrics,,timbeiko,Medium,Done,Done,14/Feb/20 2:06 PM,,,
Bug,BESU-148,43561,05/Dec/19 9:48 AM,Flaky Acceptance Tests in pubsub,,EdJoJob,Medium,Done,Done,14/Feb/20 2:04 PM,,,
Bug,BESU-11,43090,04/Nov/19 10:34 AM,Missing information in the Ansible topic,,madelinemurray,Medium,Done,Done,14/Feb/20 1:45 PM,,,besu-docs
Bug,BESU-81,43206,07/Nov/19 4:34 PM,Besu won't start with KVSTORE_ROCKSDB metrics category and privacy enabled,,madelinemurray,Medium,Done,Done,14/Feb/20 12:51 PM,,,
Task,BESU-56,43164,06/Nov/19 10:51 PM,Document custom errorprone checks,atoulme,timbeiko,Medium,Done,Done,13/Feb/20 11:44 PM,,,
Task,BESU-20,43121,06/Nov/19 1:03 AM,Add GraphQL support for logs,,timbeiko,Medium,Done,Done,13/Feb/20 4:23 AM,,,
Bug,BESU-156,43708,13/Dec/19 9:24 AM,Validate private transaction before sending to enclave,jframe,jframe,Medium,Done,Done,11/Feb/20 1:52 PM,,,
Improvement,BESU-196,44258,04/Feb/20 3:58 PM,Testing the synchronisation of Jira,,bretthenderson,Medium,Done,Done,05/Feb/20 2:57 PM,,,
Task,BESU-184,44149,28/Jan/20 6:06 AM,update the version of picocli in Besu,PaulHarris 1,PaulHarris 1,Medium,Done,Done,03/Feb/20 2:34 PM,,,
Task,BESU-168,43765,18/Dec/19 5:51 PM,Doc logs index RPC API ,,madelinemurray,Medium,Done,Done,01/Feb/20 9:46 AM,,,besu-docs
Improvement,BESU-185,44150,28/Jan/20 12:07 PM,Enable client authentication mode on Json RPC,usmansaleem,arash009,Medium,Done,Done,31/Jan/20 8:37 AM,,,
